Store_ID,Store_Name,Store_Type,District,City/Town,Address,Phone,Source,Location_Status,Verification_Note
TN-AS-001,Ayur Kshetra hospital,Ayurvedic clinic/store,Chennai,Arumbakkam,"No 5, Near Panjali Amman Temple, Panjali Amman Koil Street, Chennai - 600106",044-66426329,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-002,Arogyaamrutham Vaidya Sala,Ayurvedic pharmacy,Chennai,T Nagar,"No 19/5, Near Mala Inn, Sarojini Street, T Nagar, Chennai - 600017",044-66422267,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-003,R E Agencies,Ayurvedic medicine store,Chennai,Ashok Nagar,"No 12, 26th Street, Near 5th Avenue, Ashok Nagar, Chennai - 600083",044-66321088,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-004,Arya Vidhya Pharmacy,Ayurvedic pharmacy,Chennai,Tambaram West,"No.3, Venkatesa Choudry Street, Tambaram West, Chennai - 600045",044-66428405,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-005,Sree Padma Siddha Ayurvedha Marunth,Ayurvedic/Siddha store,Chennai,Adambakkam,"No 165 A, Karuneegar Street, Adambakkam, Chennai - 600088",044-66369097,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-006,Vallalar Siddha Ayurvedha Medical and Clinic,Ayurvedic/Siddha clinic,Chennai,Nanganallur,"No 38/64, Karunanidhi Nagar MGR Street, Nanganallur, Chennai - 600061",044-66421416,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-007,Swastik Ayurvedic Stores,Ayurvedic store,Chennai,Thiruvanmiyur,"147, Lattice Bridge Road, Indira Nagar, Thiruvanmiyur, Chennai - 600041",+919710254622,Business listing,Detailed address,Official business/brand listing
TN-AS-008,Kottakkal Arya Vaidya Sala,Ayurvedic pharmacy,Chennai,Besant Nagar,"Shop No 3, Mini Shopping Centre, 4th Main Road, Besant Nagar, Chennai - 600090",044-66598182,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-009,A Kesavamudalaiyar & Sons,Ayurvedic medicine store,Chennai,Kilpauk,"No 83/1 Ground Floor, Millers Road, Kilpauk, Chennai - 600010",044-66751372,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-010,A Kesavamudalaiyar & Sons,Ayurvedic medicine store,Chennai,Chrompet,"No 109, Station Road, Radha Nagar, Chrompet, Chennai - 600044",044-66420824,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-011,S S Ayurveda Health Center,Ayurvedic clinic/store,Chennai,Velachery,"No 16/25 A, Orandiyamman Kovil Street, Velachery, Chennai - 600042",044-66593875,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-012,Raj Ayurvedic Stores,Ayurvedic pharmacy,Chennai,T Nagar,"Shop No 13, Rameswaram Street, Postal Colony, T Nagar, Chennai - 600017",+919444264116,Business listing,Detailed address,Official business/brand listing
TN-AS-013,City Ayurvedic Stores,Ayurvedic store,Chennai,West Mambalam,"19, Hanuman Koil Street, Jothi Nagar, West Mambalam, Chennai - 600033",044-23716751,Business listing,Detailed address,Official business/brand listing
TN-AS-014,Chennai Ayurveda Pharmacy,Ayurvedic pharmacy,Chennai,West Mambalam,"Station Road, West Mambalam, Chennai - 600033",+919790759342,Business listing,Detailed address,Official business/brand listing
TN-AS-015,Ayurkart,Herbal/Ayurvedic store,Chennai,Anna Nagar East,"New 27th Street, L Block, Anna Nagar East, Chennai - 600102",044-48599296,Business listing,Detailed address,Official business/brand listing
TN-AS-016,Meghnaa Ayurveda Medical Shop & Clinic,Ayurvedic store/clinic,Chennai,Mogappair West,"31/32, Vellalar Street, VGP Nagar, Mogappair West, Chennai - 600037",+917358102883,Business listing,Detailed address,Official business/brand listing
TN-AS-017,The Venkataramana Ayurveda Dispensary,Ayurvedic dispensary,Chennai,Mylapore,"138, Kutchery Road, Girija Garden, Mylapore, Chennai - 600004",044-24985923,Business listing,Detailed address,Official business/brand listing
TN-AS-018,VaPiKa Store & Clinic,Ayurvedic store/clinic,Chennai,Porur,"63, Eswaran Koil Street, near Balamurugan Temple, RE Nagar, Porur, Chennai - 600116",+919791111656,Business listing,Detailed address,Official business/brand listing
TN-AS-019,Himalaya - Sri Periyandavar Ayurvedic,Ayurvedic store,Chennai,Mylapore,"29, S Mada Street, Alamelu Manga Puram, Sankarapuram, Mylapore, Chennai - 600004",+918056244866,Business listing,Detailed address,Official business/brand listing
TN-AS-020,AYURSIDDHA HOMEO PHARMA,Ayurvedic/Siddha pharmacy,Coimbatore,Ukkadam,"A Nanjappa Complex, 136, Big Bazaar Street, Ukkadam, Coimbatore - 641001",,Business listing,Detailed address,Official business/brand listing
TN-AS-021,"AYUSH Ayurvedic, Siddha, Homeo Pharmacy",Ayurvedic/Siddha pharmacy,Coimbatore,Town Hall,"393, Sukrawarpet Street, Town Hall, Coimbatore - 641001",+919385767240,Business listing,Detailed address,Official business/brand listing
TN-AS-022,The Arya Vaidya Pharmacy (CBE) Ltd,Ayurvedic pharmacy,Coimbatore,Ramanathapuram,"1744 A, Trichy Road, Olymbus, Ramanathapuram, Coimbatore - 641045",0422-22367200,Business listing,Detailed address,Official business/brand listing
TN-AS-023,Arya Vaidya Pharmacy,Ayurvedic pharmacy,Coimbatore,Vadavalli,"29/1B, Marudhamalai Road, Thirumurugan Nagar, Vadavalli, Coimbatore - 641041",+919443861799,Business listing,Detailed address,Official business/brand listing
TN-AS-024,The Arya Vaidya Pharmacy (Coimbatore) Ltd,Ayurvedic pharmacy,Coimbatore,Gopalapuram,"1381/1382, Trichy Road, opposite Stanes Motors, Coimbatore - 641018",0422-2439545,Business listing,Detailed address,Official business/brand listing
