Common Name,Botanical Name,Family
Ashwagandha,Withania somnifera,Solanaceae
Tulsi (Holy Basil),Ocimum tenuiflorum,Lamiaceae
Neem,Azadirachta indica,Meliaceae
Turmeric,Curcuma longa,Zingiberaceae
Brahmi,Bacopa monnieri,Plantaginaceae
Amla (Indian Gooseberry),Phyllanthus emblica,Phyllanthaceae
Guduchi (Giloy),Tinospora cordifolia,Menispermaceae
Shatavari,Asparagus racemosus,Asparagaceae
Arjuna,Terminalia arjuna,Combretaceae
Haritaki,Terminalia chebula,Combretaceae
Bibhitaki,Terminalia bellirica,Combretaceae
Ginger,Zingiber officinale,Zingiberaceae
Licorice (Yashtimadhu),Glycyrrhiza glabra,Fabaceae
Fenugreek (Methi),Trigonella foenum-graecum,Fabaceae
Punarnava,Boerhavia diffusa,Nyctaginaceae
Aloe Vera,Aloe barbadensis miller,Asphodelaceae
Manjistha,Rubia cordifolia,Rubiaceae
Vacha (Sweet Flag),Acorus calamus,Acoraceae
Bhringraj,Eclipta prostrata,Asteraceae
Kalmegh,Andrographis paniculata,Acanthaceae
Shankhpushpi,Convolvulus pluricaulis,Convolvulaceae
Vidanga,Embelia ribes,Primulaceae
Jatamansi,Nardostachys jatamansi,Caprifoliaceae
Musta (Nagarmotha),Cyperus rotundus,Cyperaceae
Bael (Bilva),Aegle marmelos,Rutaceae
Gokshura,Tribulus terrestris,Zygophyllaceae
Kutki,Picrorhiza kurroa,Plantaginaceae
Sarpagandha,Rauvolfia serpentina,Apocynaceae
Vasaka (Adhatoda),Justicia adhatoda,Acanthaceae
Chirayata,Swertia chirata,Gentianaceae
Karela (Bitter Gourd),Momordica charantia,Cucurbitaceae
Pippali (Long Pepper),Piper longum,Piperaceae
Black Pepper,Piper nigrum,Piperaceae
Lodhra,Symplocos racemosa,Symplocaceae
Kapikacchu,Mucuna pruriens,Fabaceae
Nagkesar,Mesua ferrea,Calophyllaceae
Sandalwood,Santalum album,Santalaceae
Ginseng (Indian),Withania somnifera,Solanaceae
Yashtimadhu,Glycyrrhiza glabra,Fabaceae
Bhumi Amla,Phyllanthus niruri,Phyllanthaceae
Triphala (Component - Amla),Phyllanthus emblica,Phyllanthaceae
Nirgundi,Vitex negundo,Lamiaceae
Kalonji (Black Cumin),Nigella sativa,Ranunculaceae
Coriander,Coriandrum sativum,Apiaceae
Cumin,Cuminum cyminum,Apiaceae
Cardamom,Elettaria cardamomum,Zingiberaceae
Cinnamon,Cinnamomum verum,Lauraceae
Clove,Syzygium aromaticum,Myrtaceae
Fennel,Foeniculum vulgare,Apiaceae
Ajwain,Trachyspermum ammi,Apiaceae
Mustard,Brassica juncea,Brassicaceae
Garlic,Allium sativum,Amaryllidaceae
Onion,Allium cepa,Amaryllidaceae
Curry Leaf,Murraya koenigii,Rutaceae
Moringa (Drumstick),Moringa oleifera,Moringaceae
Amaltas,Cassia fistula,Fabaceae
Senna,Cassia angustifolia,Fabaceae
Kachnar,Bauhinia variegata,Fabaceae
Palash,Butea monosperma,Fabaceae
Ashoka,Saraca asoca,Fabaceae
Shami,Prosopis cineraria,Fabaceae
Khadira,Acacia catechu,Fabaceae
Babool,Acacia nilotica,Fabaceae
Peepal,Ficus religiosa,Moraceae
Banyan,Ficus benghalensis,Moraceae
Gular,Ficus racemosa,Moraceae
Rudraksha,Elaeocarpus ganitrus,Elaeocarpaceae
Kadamba,Neolamarckia cadamba,Rubiaceae
Vata (Banyan) - alt,Ficus benghalensis,Moraceae
Shirisha,Albizia lebbeck,Fabaceae
Devadaru,Cedrus deodara,Pinaceae
Vidari Kanda,Pueraria tuberosa,Fabaceae
Safed Musli,Chlorophytum borivilianum,Asparagaceae
Kaunch Beej,Mucuna pruriens,Fabaceae
Talmakhana,Hygrophila auriculata,Acanthaceae
Bala,Sida cordifolia,Malvaceae
Atibala,Abutilon indicum,Malvaceae
Shalaparni,Desmodium gangeticum,Fabaceae
Prishnaparni,Uraria picta,Fabaceae
Erand (Castor),Ricinus communis,Euphorbiaceae
Bhang (Cannabis),Cannabis sativa,Cannabaceae
Datura,Datura stramonium,Solanaceae
Dhattura,Datura metel,Solanaceae
Apamarga,Achyranthes aspera,Amaranthaceae
Chitrak,Plumbago zeylanica,Plumbaginaceae
Nagarmotha,Cyperus rotundus,Cyperaceae
Kutaja,Holarrhena antidysenterica,Apocynaceae
Indrajav,Holarrhena pubescens,Apocynaceae
Bakuchi,Psoralea corylifolia,Fabaceae
Karanja,Pongamia pinnata,Fabaceae
Reetha (Soapnut),Sapindus mukorossi,Sapindaceae
Shikakai,Acacia concinna,Fabaceae
Amrita (Guduchi) - alt,Tinospora cordifolia,Menispermaceae
Vatsanabha (Aconite),Aconitum ferox,Ranunculaceae
Ativisha,Aconitum heterophyllum,Ranunculaceae
Musli Safed - alt,Chlorophytum borivilianum,Asparagaceae
Rasna,Pluchea lanceolata,Asteraceae
Shatapushpa,Anethum sowa,Apiaceae
Yavani,Trachyspermum ammi,Apiaceae
Haridra (Turmeric) - alt,Curcuma longa,Zingiberaceae
Daruharidra,Berberis aristata,Berberidaceae
Nimba (Neem) - alt,Azadirachta indica,Meliaceae
