Ayurvedic Product,Major Components
Chyawanprash,"Amla, Ashwagandha, Giloy, Pippali, Cardamom, Cinnamon, Honey, Ghee"
Triphala Churna,"Amla, Haritaki, Bibhitaki"
Sitopaladi Churna,"Mishri, Vanshlochan, Pippali, Cardamom, Cinnamon"
Hingvashtak Churna,"Asafoetida, Black Pepper, Long Pepper, Ginger, Cumin, Ajwain, Rock Salt"
Dashamoola Kwatha,"Bilva, Agnimantha, Shyonaka, Patala, Gambhari, Brihati, Kantakari, Gokshura, Shalaparni, Prishniparni"
Yogaraj Guggulu,"Guggulu, Triphala, Chitraka, Pippali, Ginger"
Kaishore Guggulu,"Guggulu, Triphala, Guduchi, Trikatu"
Trikatu Churna,"Black Pepper, Long Pepper, Dry Ginger"
Brahmi Ghrita,"Brahmi, Cow Ghee"
Mahasudarshan Churna,"Kiratatikta, Neem, Guduchi, Turmeric, Triphala"
Ashwagandha Tablets,Ashwagandha
Giloy Juice,Giloy
Tulsi Drops,Tulsi
Neem Capsules,Neem
Brahmi Capsules,Brahmi
Arjuna Tablets,Arjuna
Shatavari Powder,Shatavari
Amla Juice,Amla
Kumaryasava,"Aloe Vera, Haritaki, Ginger"
Draksharishta,"Grapes, Cardamom, Cinnamon, Long Pepper"
Saraswatarishta,"Brahmi, Ashwagandha, Shatavari"
Lohasava,"Triphala, Honey, Iron Preparation"
Punarnavadi Kashayam,"Punarnava, Ginger, Haritaki"
Amritarishta,"Guduchi, Dashamoola"
Khadirarishta,"Khadira, Devadaru"
Kanakasava,"Datura, Vasaka, Pippali"
Vasavaleha,"Vasaka, Honey, Pippali"
Talisadi Churna,"Talispatra, Pippali, Cardamom, Cinnamon"
Haridra Khanda,"Turmeric, Trikatu"
Chandraprabha Vati,"Shilajit, Guggulu, Trikatu"
